Film and Television Institute of India(FTII),Actors,JMI
Sir JJ College Of Applied Art,Broadcast News Analysts,Respective college entrances
"College of Fine Arts, Trivandrum",Choreographers,
Symbiosis Institute Of Media & Communication,Film and Video Editors,
"Garden City University, Bangalore",Writers and Authors,
Hindustan College of Arts and Science,Singers/Dancers,
NRAI School of Mass Communication,Graphic Designers,
