Bangalore Institute of Management Studies,Business Development Manager,MAT
Regional College of Management,Business Administrator,CAT
"IIM,Ahemadabad",Finance Manager,CMAT
"IIM,Bangalore",Management Consultant,XAT
Lovely Professional University,Business Analyst,GMAT
Parul University,CEO,SNAP
Management Development Institute,CFO,NMAT
NIMS University,CMO,
Vinod Gupta School of Management,Strategic Business head,
XLRI,,
